Symbol,Exchange
A,NYSE
AA,NYSE
AAC,NYSE
AAN,NYSE
AG,NYSE
AIG,NYSE
BETR,NYSE
USO, UNKN
INTC,NASDAQ
MU,NASDAQ
AMD,NASDAQ
AMX,NYSE
SQ,NYSE
TWTR,NYSE
PANW,NYSE
FEYE,NASDAQ
FORD,NASDAQ
AAPL,NASDAQ
ABBV,NYSE
ABT,NYSE
ACN,NYSE
ALL,NYSE
AMGN,NASDAQ
AMZN,NASDAQ
AXP,NYSE
BA,NYSE
BAC,NYSE
BIIB,NASDAQ
BK, UNKN
BLK,NYSE
BMY,NYSE
BRK.B,NYSE
C,NYSE
CAT,NYSE
CELG,NASDAQ
CL,NYSE
CMCSA,NASDAQ
COF,NYSE
COP,NYSE
COST,NASDAQ
CSCO,NASDAQ
CVS,NYSE
CVX,NYSE
DD,NYSE
DHR,NYSE
DIS,NYSE
DOW,NYSE
DUK,NYSE
EMR,NYSE
EXC,NYSE
F,NYSE
FB,NASDAQ
FDX,NYSE
FOX,NASDAQ
FOXA,NASDAQ
GD,NYSE
GE,NYSE
GILD,NASDAQ
GM,NYSE
GOOG,NASDAQ
GOOGL,NASDAQ
GS,NYSE
HAL,NYSE
HD,NYSE
HON,NYSE
IBM,NYSE
JNJ,NYSE
JPM,NYSE
KHC,NASDAQ
KMI,NYSE
KO,NYSE
LLY,NYSE
LMT,NYSE
LOW,NYSE
MA,NYSE
MCD,NYSE
MDLZ,NASDAQ
MDT,NYSE
MET,NYSE
MMM,NYSE
MO,NYSE
MON,NYSE
MRK,NYSE
MS,NYSE
MSFT,NASDAQ
NEE,NYSE
NKE,NYSE
ORCL,NYSE
OXY,NYSE
PCLN,NASDAQ
PEP,NYSE
PFE,NYSE
PG,NYSE
PM,NYSE
PYPL,NASDAQ
QCOM,NASDAQ
RTN,NYSE
SBUX,NASDAQ
SLB,NYSE
SO,NYSE
SPG,NYSE
T,NYSE
TGT,NYSE
TWX,NYSE
UNH,NYSE
UNP,NYSE
UPS,NYSE
USB,NYSE
UTX,NYSE
V,NYSE
VZ,NYSE
WBA,NASDAQ
WFC,NYSE
WMT,NYSE
XOM,NYSE
